,line,token,lemma,error_type
2205,148601,χρώμενον,χράω2,2
2206,148622,ὅτι,ὅτι2,2
2207,148725,ὅτι,ὅτι2,2
2208,148748,ὅτι,ὅτι2,2
2209,148887,ὅτι,ὅτι2,2
2210,148961,ᾧ,ὅς2,2
2211,148990,ὃν,ὅς2,2
2212,149226,ὅτι,ὅτι2,2
2213,149444,ὅτι,ὅτι2,2
2214,149499,ὧν,ὅς2,2
2215,149502,δεόμενοι,δέω2,2
2216,149530,χρώμενοι,χράω2,2
2217,149548,οὗ,ὅς2,2
2218,149587,οἷς,ὅς2,2
2219,149674,ἣν,ὅς2,2
2220,149737,ὅτι,ὅτι2,2
2221,149773,ὧν,ὅς2,2
2222,149828,ὃν,ὅς2,2
2223,149918,ὧν,ὅς2,2
2224,149946,ᾧ,ὅς2,2
2225,150016,ὅτι,ὅτι2,2
2226,150033,ὧν,ὅς2,2
2227,150080,ὅτι,ὅτι2,2
2228,150096,ὧν,ὅς2,2
2229,150174,κύριος,κύριος2,2
2230,150212,ὧν,ὅς2,2
2231,150276,χρῆσθαι,χράω2,2
2232,150286,οἷ,οἷ2,2
2233,150323,ὅτι,ὅτι2,2
2234,150347,οὓς,ὅς2,2
2235,150500,ὅτι,ὅτι2,2
2236,150521,ὅτι,ὅτι2,2
2237,150719,ᾗ,ὅς2,2
2238,150737,ἐπιόντα,ἔπειμι2,2
2239,150871,ὧν,ὅς2,2
2240,150875,ὧν,ὅς2,2
2241,151155,ὅτι,ὅτι2,2
2242,151237,ἧς,ὅς2,2
2243,151283,ὅτι,ὅτι2,2
2244,151294,ὅτι,ὅτι2,2
2245,151414,ὧν,ὅς2,2
2246,151488,ὧν,ὅς2,2
2247,151568,ὧν,ὅς2,2
2248,151626,οὓς,ὅς2,2
2249,151688,ὅτι,ὅτι2,2
2250,151727,ἣν,ὅς2,2
2251,151787,ὅτι,ὅτι2,2
2252,151803,ὧν,ὅς2,2
2253,151834,ὅτι,ὅτι2,2
2254,151859,ὅτι,ὅτι2,2
2255,151963,ὅτι,ὅτι2,2
2256,151982,ἀπορούμενος,ἀπορέω2,2
2257,152002,ὅτι,ὅτι2,2
2258,152126,ἀποροῦντες,ἀπορέω2,2
2259,152140,ὅτι,ὅτι2,2
2260,152193,ὅτι,ὅτι2,2
2261,152299,κύριοι,κύριος2,2
2262,152322,ὧν,ὅς2,2
2263,152336,ᾧ,ὅς2,2
2264,152426,ὧν,ὅς2,2
2265,152777,ἀποροῦντα,ἀπορέω2,2
2266,152795,ὅτι,ὅτι2,2
2267,152828,ὅτι,ὅτι2,2
2268,152891,ὅτι,ὅτι2,2
2269,153029,ἃ,ὅς2,2
2270,153099,ὅτι,ὅτι2,2
2271,153150,ἧς,ὅς2,2
2272,153210,ἣν,ὅς2,2
2273,153274,ὧν,ὅς2,2
2274,153282,ἄκων,ἄκων2,2
2275,153312,χρωμένους,χράω2,2
2276,153328,ὅτι,ὅτι2,2
2277,153348,ὅτι,ὅτι2,2
2278,153378,ὧν,ὅς2,2
2279,153563,ἃ,ὅς2,2
2280,153608,ὅτι,ὅτι2,2
2281,153941,ὅτι,ὅτι2,2
2282,154002,ὅτι,ὅτι2,2
2283,154007,ὧν,ὅς2,2
2284,154023,οὓς,ὅς2,2
2285,154072,ὅτι,ὅτι2,2
2286,154189,ὅτι,ὅτι2,2
2287,154203,χρωμένων,χράω2,2
2288,154376,ὅτι,ὅτι2,2
2289,154392,ἣν,ὅς2,2
2290,154405,πιστοὶ,πιστός2,2
2291,154463,ἠπόρησεν,ἀπορέω2,2
2292,154524,ἃ,ὅς2,2
2293,154560,ὅτι,ὅτι2,2
2294,154971,ὧν,ὅς2,2
2295,155124,ὅτι,ὅτι2,2
2296,155230,μῆλα,μῆλον2,2
2297,155245,ὧν,ὅς2,2
2298,155259,κύριος,κύριος2,2
2299,155266,ὧν,ὅς2,2
2300,155293,ὃν,ὅς2,2
2301,155388,ᾧ,ὅς2,2
2302,155483,ἀπορῶ,ἀπορέω2,2
2303,155521,οὓς,ὅς2,2
2304,155551,ἧς,ὅς2,2
2305,155622,ἣν,ὅς2,2
2306,155691,οἷς,ὅς2,2
2307,155822,ὅτι,ὅτι2,2
2308,155927,κύριον,κύριος2,2
2309,155939,πιστοτέραν,πιστός2,2
2310,156224,ἧς,ὅς2,2
2311,156244,ἧς,ὅς2,2
2312,156472,ὧν,ὅς2,2
2313,156504,ὧν,ὅς2,2
2314,156512,κύριον,κύριος2,2
2315,156517,ὅτι,ὅτι2,2
2316,156554,ὧν,ὅς2,2
2317,156611,ἧς,ὅς2,2
2318,156647,ἧς,ὅς2,2
2319,156662,ἧς,ὅς2,2
2320,156930,ἃ,ὅς2,2
2321,157047,ὅτι,ὅτι2,2
2322,157064,ὧν,ὅς2,2
2323,157075,ὧν,ὅς2,2
2324,157213,χρώμεθα,χράω2,2
2325,157251,ὥραν,ὥρα2,2
2326,157389,ὧν,ὅς2,2
2327,157476,πιστὴν,πιστός2,2
2328,157516,οὓς,ὅς2,2
2329,157819,ὧν,ὅς2,2
2330,157953,πέρᾳ,πέρα2,2
2331,158036,πιστοὶ,πιστός2,2
2332,158133,δέομαι,δέω2,2
2333,158451,ὧν,ὅς2,2
2334,158682,ᾧ,ὅς2,2
2335,158706,ἃ,ὅς2,2
2336,158753,οὓς,ὅς2,2
2337,158787,ἀπιών,ἄπειμι2,2
2338,158790,ἄκοντά,ἄκων2,2
2339,158970,οὓς,ὅς2,2
2340,158995,ἃ,ὅς2,2
2341,159010,ὅτι,ὅτι2,2
2342,159069,ὅτι,ὅτι2,2
2343,159108,ἃ,ὅς2,2
2344,159174,χρῶνται,χράω2,2
2345,159297,ἃ,ὅς2,2
2346,159324,ᾧ,ὅς2,2
2347,159328,ὅν,ὅς2,2
2348,159365,ἃ,ὅς2,2
2349,159434,ὅτι,ὅτι2,2
2350,159435,ltοὐ,,1
2351,159437,ἐgtμῇ,,1
2352,159518,ᾧ,ὅς2,2
2353,159851,ὅτι,ὅτι2,2
2354,159979,ὅτι,ὅτι2,2
2355,160008,ltἐντιθεμένουgt,,1
2356,160016,ᾧ,ὅς2,2
2357,160041,ᾧ,ὅς2,2
2358,160082,ᾧ,ὅς2,2
2359,160133,ὃν,ὅς2,2
2360,160147,ὃν,ὅς2,2
2361,160207,ᾧ,ὅς2,2
2362,160252,ὅτι,ὅτι2,2
2363,160254,οἷς,ὅς2,2
2364,160289,ὧν,ὅς2,2
2365,160353,ἐχρῆτο,χράω2,2
2366,160357,ὅτι,ὅτι2,2
2367,160388,ᾧ,ὅς2,2
2368,160446,ὅτι,ὅτι2,2
2369,160511,ltΜάρτυρεςgt,,1
2370,160532,χρῆσθαι,χράω2,2
2371,160557,ᾧ,ὅς2,2
2372,160561,ᾧ,ὅς2,2
2373,160666,ὧν,ὅς2,2
2374,160719,ἐχρῶντο,χράω2,2
2375,160760,ἣν,ὅς2,2
2376,160787,ὅτι,ὅτι2,2
2377,160799,ὅτι,ὅτι2,2
2378,160815,ὅτι,ὅτι2,2
2379,160833,ἐχρῆτο,χράω2,2
2380,160849,χρώμενος,χράω2,2
2381,160962,οὓς,ὅς2,2
2382,161035,ᾧ,ὅς2,2
2383,161097,ltἐπὶgt,,1
2384,161186,ἃ,ὅς2,2
2385,161190,ltἄνgt,,1
2386,161218,ltδεῖgt,,1
2387,161273,ὅτι,ὅτι2,2
2388,161329,ὃν,ὅς2,2
2389,161583,ὅτι,ὅτι2,2
2390,161842,ἃ,ὅς2,2
2391,161887,ὅτι,ὅτι2,2
2392,161894,ὅτι,ὅτι2,2
2393,162158,ὅτι,ὅτι2,2
2394,162255,ὅτι,ὅτι2,2
2395,162377,ᾧ,ὅς2,2
2396,162531,ὅτι,ὅτι2,2
2397,162591,χρῶνται,χράω2,2
2398,162593,ltτῷgt,,1
2399,162598,ὅτι,ὅτι2,2
2400,162645,χρῆσθαι,χράω2,2
2401,162671,ὅτι,ὅτι2,2
2402,162733,ὅτι,ὅτι2,2
2403,162762,ᾧ,ὅς2,2
2404,163194,ᾧ,ὅς2,2
2405,163228,ὅτι,ὅτι2,2
2406,163285,ἃ,ὅς2,2
2407,163347,ἃ,ὅς2,2
2408,163368,ὧν,ὅς2,2
2409,163405,ἃ,ὅς2,2
2410,163505,ἃ,ὅς2,2
2411,163580,ἧς,ὅς2,2
2412,163610,ltποιεῖgt,,1
2413,163644,ltτοὺς,,1
2414,163645,δὲgt,,1
2415,163667,ἃ,ὅς2,2
2416,163716,ἃ,ὅς2,2
2417,163789,ἃ,ὅς2,2
2418,163919,πιστότατα,πιστός2,2
2419,163926,ὅτι,ὅτι2,2
2420,163932,ltτὰςgt,,1
2421,164033,ἃ,ὅς2,2
2422,164043,ὅτι,ὅτι2,2
2423,164050,ltεἰσὶ,,1
2424,164053,καὶgt,,1
2425,164067,ὅτι,ὅτι2,2
2426,164092,ἐχρῶντο,χράω2,2
2427,164123,ἃ,ὅς2,2
2428,164131,ἃ,ὅς2,2
2429,164147,οὓς,ὅς2,2
2430,164193,ltαὐτῶν,,1
2431,164197,μουgt,,1
2432,164223,οὓς,ὅς2,2
2433,164233,ὧν,ὅς2,2
2434,164335,ltτούτουςgt,,1
2435,164394,χρῆσθαι,χράω2,2
2436,164414,ὅτι,ὅτι2,2
2437,164427,χρῆσθαι,χράω2,2
2438,164434,ltτεgt,,1
2439,164491,ὅτι,ὅτι2,2
2440,164498,ὧν,ὅς2,2
2441,164654,χρῆσθαι,χράω2,2
2442,164701,ᾧ,ὅς2,2
2443,164729,ltτιςgt,,1
2444,164817,ὧν,ὅς2,2
2445,164848,ὅτι,ὅτι2,2
2446,164990,ἃ,ὅς2,2
2447,165004,ᾧ,ὅς2,2
2448,165008,ἃ,ὅς2,2
2449,165156,δέομαι,δέω2,2
2450,165446,οἷς,ὅς2,2
2451,165678,ἄνω,ἄνω2,2
2452,165687,ἐδέοντο,δέω2,2
2453,166241,χρωμένοις,χράω2,2
2454,166481,ᾧ,ὅς2,2
2455,166596,ὅτι,ὅτι2,2
2456,166676,οὓς,ὅς2,2
2457,167056,πάροδον,πάροδος2,2
2458,167090,οὓς,ὅς2,2
2459,167095,οὓς,ὅς2,2
2460,167122,παρόδου,πάροδος2,2
2461,167144,ἀποροῦντες,ἀπορέω2,2
2462,167152,ὅτι,ὅτι2,2
2463,167331,προσιόντος,πρόσειμι2,2
2464,167349,οἷς,ὅς2,2
2465,167374,ἃ,ὅς2,2
2466,167508,ὧν,ὅς2,2
2467,167515,ὧν,ὅς2,2
2468,167633,ὅτι,ὅτι2,2
2469,167970,ὧν,ὅς2,2
2470,167974,οὓς,ὅς2,2
2471,168006,δεόμενοι,δέω2,2
2472,168094,ἐπιόντων,ἔπειμι2,2
2473,168404,ὧν,ὅς2,2
2474,168460,ὅτι,ὅτι2,2
2475,168803,δεόμενοι,δέω2,2
2476,168830,ὅτι,ὅτι2,2
2477,168866,ὅτι,ὅτι2,2
2478,169220,ὅτι,ὅτι2,2
2479,169231,ὧν,ὅς2,2
2480,169238,ὅτι,ὅτι2,2
2481,169509,ἃ,ὅς2,2
2482,169531,ὅτι,ὅτι2,2
2483,169751,χρῆσθαι,χράω2,2
2484,169766,ὅτι,ὅτι2,2
2485,169790,ὧν,ὅς2,2
2486,169831,οἷς,ὅς2,2
2487,169849,ἃ,ὅς2,2
2488,170004,ὧν,ὅς2,2
2489,170019,ἃ,ὅς2,2
2490,170022,ὧν,ὅς2,2
2491,170032,οἷς,ὅς2,2
2492,170156,ἧς,ὅς2,2
2493,170190,δεῖ,δέω2,2
2494,170211,ἃ,ὅς2,2
2495,170273,ὅτι,ὅτι2,2
2496,170312,ἐπιόντας,ἔπειμι2,2
2497,170376,οἷς,ὅς2,2
2498,170422,ἣν,ὅς2,2
2499,170443,ἧς,ὅς2,2
2500,170625,ὃν,ὅς2,2
2501,170649,ὅτι,ὅτι2,2
2502,170657,ἣν,ὅς2,2
2503,170724,ὧν,ὅς2,2
2504,170844,ὅτι,ὅτι2,2
2505,170953,οὓς,ὅς2,2
2506,170973,ἐπιόντα,ἔπειμι2,2
2507,171219,ὅτι,ὅτι2,2
2508,171388,ὅτι,ὅτι2,2
