,line,token,lemma,error_type
613,60085,ὃν,ὅς2,2
614,60093,ἣν,ὅς2,2
615,60101,ᾧ,ὅς2,2
616,60203,οἷς,ὅς2,2
617,60247,ἃ,ὅς2,2
618,60312,ὅτι,ὅτι2,2
619,60377,ἀρωμάτων,ἄρωμα2,2
620,60591,ἄνω,ἄνω2,2
621,60821,ὅτι,ὅτι2,2
622,60973,χρήσῃ,χράω2,2
623,61017,ἡνίαν,ἡνία2,2
624,61027,ὅτι,ὅτι2,2
625,61067,ἡνίαις,ἡνία2,2
626,61099,χρώμενος,χράω2,2
627,61247,ἧς,ὅς2,2
628,61352,ἧς,ὅς2,2
629,61380,οὓς,ὅς2,2
630,61512,ἣν,ὅς2,2
631,61541,ἄνω,ἄνω2,2
632,61676,κύριος,κύριος2,2
633,61743,ἣν,ὅς2,2
634,61840,ἣν,ὅς2,2
635,62115,ὧν,ὅς2,2
636,62235,οὓς,ὅς2,2
637,62471,ὀξέως,ὀξύς2,2
638,62507,ὅτι,ὅτι2,2
639,62713,ἃ,ὅς2,2
640,63027,δεηθεὶς,δέω2,2
641,63130,δεόμενος,δέω2,2
642,63266,ὃν,ὅς2,2
643,63456,ὅτι,ὅτι2,2
644,63499,δεομένοις,δέω2,2
645,63527,ἔθυσε,θύω2,2
646,63556,ὅτι,ὅτι2,2
647,63660,οὓς,ὅς2,2
648,63711,ὥρας,ὥρα2,2
649,63818,ἐχρῶντο,χράω2,2
650,63843,ἧς,ὅς2,2
651,64007,πιστὰ,πιστός2,2
652,64086,ὧν,ὅς2,2
653,64260,ἧς,ὅς2,2
654,64278,οἷς,ὅς2,2
655,64314,ὄγκον,ὄγκος2,2
656,64562,ᾧ,ὅς2,2
657,64607,ἄνω,ἄνω2,2
658,64637,ὃν,ὅς2,2
659,64663,ἣν,ὅς2,2
660,64746,ἣν,ὅς2,2
661,65077,ἐδεῖτο,δέω2,2
662,65319,ὅτι,ὅτι2,2
663,65495,ἀρωμάτων,ἄρωμα2,2
664,65621,ὧν,ὅς2,2
665,65944,ὅτι,ὅτι2,2
666,66002,ὅτι,ὅτι2,2
667,66069,ἣν,ὅς2,2
668,66104,δεῖσθαι,δέω2,2
669,66236,ὃν,ὅς2,2
670,66255,θύσας,θύω2,2
671,66410,ὧν,ὅς2,2
672,66669,ἄπεισι,ἄπειμι2,2
673,66765,ἣν,ὅς2,2
674,66903,πυρᾷ,πυρά2,2
675,66931,ἐπιόντας,ἔπειμι2,2
676,67119,ἐχρῶντο,χράω2,2
677,67211,χρῶ,χράω2,2
678,67315,ὅτι,ὅτι2,2
679,67593,ἣν,ὅς2,2
680,67892,κυρίῳ,κύριος2,2
681,67895,χρήσαντος,χράω2,2
682,68026,ὅτι,ὅτι2,2
683,68228,ὅτι,ὅτι2,2
684,68389,ὃν,ὅς2,2
685,68415,ἀπιὼν,ἄπειμι2,2
686,68445,ὅτι,ὅτι2,2
687,68503,δεομένους,δέω2,2
688,68722,ἐνέδει,ἐνδέω2,2
689,68739,κύριος,κύριος2,2
690,68889,ὧν,ὅς2,2
691,68975,οἷς,ὅς2,2
692,68986,ὧν,ὅς2,2
693,69075,ὧν,ὅς2,2
694,69169,χρῆσθαι,χράω2,2
695,69684,ἐφόδου,ἔφοδος3,2
696,69708,ὅτι,ὅτι2,2
697,69807,χρῆσθαι,χράω2,2
698,69839,ἧς,ὅς2,2
699,69843,ἐχρῆτο,χράω2,2
700,69887,ἐφόδου,ἔφοδος3,2
701,70228,ὄγκον,ὄγκος2,2
702,70306,ἔθυε,θύω2,2
703,70341,ὅτι,ὅτι2,2
704,70410,ἐπιὼν,ἔπειμι2,2
705,70723,ᾧ,ὅς2,2
706,70748,ὀξεῖαν,ὀξύς2,2
707,70791,ὀξέως,ὀξύς2,2
708,71069,ὅν,ὅς2,2
709,71205,ὥρα,ὥρα2,2
710,71335,ὧν,ὅς2,2
711,71378,ὅτι,ὅτι2,2
712,71447,ὅτι,ὅτι2,2
713,71479,ὅτι,ὅτι2,2
714,71508,ἧς,ὅς2,2
715,71650,χρησόμενος,χράω2,2
716,71732,δεομένων,δέω2,2
717,71752,πιστὸν,πιστός2,2
718,71776,ὄγκον,ὄγκος2,2
719,71783,ἣν,ὅς2,2
720,71904,ᾧ,ὅς2,2
721,71958,ὅτι,ὅτι2,2
722,72017,χρωμένους,χράω2,2
723,72048,ὅτι,ὅτι2,2
724,72065,ὅτι,ὅτι2,2
725,72110,ὅτι,ὅτι2,2
726,72193,ὧν,ὅς2,2
727,72223,ὄγκον,ὄγκος2,2
728,72285,ὧν,ὅς2,2
729,72293,ὅτι,ὅτι2,2
730,72342,ὅτι,ὅτι2,2
731,72380,ἔθυσεν,θύω2,2
732,72384,θῦσαι,θύω2,2
733,72419,ἔδησεν,δέω2,2
734,72455,ἐρᾶν,ἐράω2,2
735,72460,ἀπιούσης,ἄπειμι2,2
736,72472,ὅτι,ὅτι2,2
737,72510,ὅτι,ὅτι2,2
738,72532,ὅτι,ὅτι2,2
739,72611,πάροδον,πάροδος2,2
740,72962,ᾧ,ὅς2,2
741,73120,ὅτι,ὅτι2,2
742,73296,ἐχρῆτο,χράω2,2
743,73388,χρώμενος,χράω2,2
744,73402,ὃν,ὅς2,2
745,73432,ὧν,ὅς2,2
746,73466,Ἑκαταῖος,Ἑκαταῖος2,2
747,73525,ᾧ,ὅς2,2
748,73634,ὅτι,ὅτι2,2
749,73661,ὅτι,ὅτι2,2
750,73786,ὅτι,ὅτι2,2
751,73792,ἧς,ὅς2,2
752,74000,ὅτι,ὅτι2,2
753,74030,ὄγκῳ,ὄγκος2,2
754,74044,χρώμενος,χράω2,2
755,74146,ἐρωμένην,ἐράω2,2
756,74314,ὃν,ὅς2,2
757,74504,οἷς,ὅς2,2
758,74615,οὓς,ὅς2,2
759,74664,ἣν,ὅς2,2
760,74761,θύων,θύω2,2
761,74799,ἐκθύσασθαι,ἐκθύω2,2
762,75062,δεομένους,δέω2,2
763,75132,ἃ,ὅς2,2
764,75173,μήλων,μῆλον2,2
765,75197,δεομένων,δέω2,2
766,75368,ἐπιοῦσαν,ἔπειμι2,2
767,75409,ἣν,ὅς2,2
768,75444,ὧν,ὅς2,2
769,75493,ὃν,ὅς2,2
770,75511,οἷς,ὅς2,2
771,75541,ὅτι,ὅτι2,2
772,75615,ὡρῶν,ὥρα2,2
773,75723,ὅτι,ὅτι2,2
774,75823,ὅτι,ὅτι2,2
775,75860,ἃ,ὅς2,2
776,75902,ᾧ,ὅς2,2
777,75955,ἀπιόντα,ἄπειμι2,2
778,75975,ὅτι,ὅτι2,2
779,76003,ἃ,ὅς2,2
780,76140,ἄπειμι,ἄπειμι2,2
781,76151,ὅτι,ὅτι2,2
782,76245,ὅτι,ὅτι2,2
783,76250,πρόσεισιν,πρόσειμι2,2
784,76571,δεομένοις,δέω2,2
785,76652,οὓς,ὅς2,2
786,76789,ὧν,ὅς2,2
787,77022,νεῖν,νέω3,2
788,77046,δεησόμενοι,δέω2,2
789,77147,ἀποδέουσαν,ἀποδέω2,2
790,77200,ὧν,ὅς2,2
791,77518,ἐπιόντα,ἔπειμι2,2
792,77728,ὥρας,ὥρα2,2
793,77772,ὄγκον,ὄγκος2,2
794,77877,ὧν,ὅς2,2
795,77892,ᾗ,ὅς2,2
796,77911,ἧς,ὅς2,2
797,78212,οὓς,ὅς2,2
798,78221,θύουσιν,θύω2,2
799,78284,ἀργὸς,ἀργός2,2
800,78616,θύσας,θύω2,2
801,78808,ὅτι,ὅτι2,2
802,78988,δεόμενος,δέω2,2
803,79222,ἣν,ὅς2,2
804,79234,ἔθυε,θύω2,2
805,79398,χρώμενος,χράω2,2
806,79574,ἐρώμενον,ἐράω2,2
807,79660,ἄνω,ἄνω2,2
808,79920,ὅτι,ὅτι2,2
809,79978,πυρὰν,πυρά2,2
810,80042,ᾧ,ὅς2,2
811,80083,πυρᾶς,πυρά2,2
812,80182,ᾧ,ὅς2,2
813,80349,οὓς,ὅς2,2
814,80448,οἷς,ὅς2,2
815,80449,ἐπιὼν,ἔπειμι2,2
816,80484,ὧν,ὅς2,2
817,80743,θύειν,θύω2,2
818,80754,χρώμενος,χράω2,2
819,80945,ὧν,ὅς2,2
820,80984,ὅτι,ὅτι2,2
821,81187,ὧν,ὅς2,2
822,81284,ὅτι,ὅτι2,2
823,81411,θυομένων,θύω2,2
824,81495,δεηθέντος,δέω2,2
825,81504,ἐπιοῦσαν,ἔπειμι2,2
826,81618,ἔθυσε,θύω2,2
827,81658,ἐπιοῦσαν,ἔπειμι2,2
828,81689,ἔθυσεν,θύω2,2
829,81899,ἣν,ὅς2,2
830,81941,ὅτι,ὅτι2,2
831,82101,ᾗ,ὅς2,2
832,82182,ὥραν,ὥρα2,2
833,82241,ὅτι,ὅτι2,2
834,82296,ὧν,ὅς2,2
835,82350,ἀπορήσας,ἀπορέω2,2
836,82416,ᾧ,ὅς2,2
837,82433,ᾧ,ὅς2,2
838,82461,ὥρη,ὥρα2,2
839,82635,ὅτι,ὅτι2,2
840,82749,ὅτι,ὅτι2,2
841,82905,περίοδος,περίοδος2,2
842,82942,ὃν,ὅς2,2
843,83098,ὅτι,ὅτι2,2
844,83236,ἃ,ὅς2,2
845,83269,ὅτι,ὅτι2,2
846,83323,ὅτι,ὅτι2,2
847,83345,ὅτι,ὅτι2,2
848,83388,ἃ,ὅς2,2
849,83467,ὅτι,ὅτι2,2
850,83520,ἃ,ὅς2,2
851,83547,ἃ,ὅς2,2
852,83592,ὧν,ὅς2,2
853,83618,ἧς,ὅς2,2
854,83698,οἷς,ὅς2,2
855,83796,χρώμενοι,χράω2,2
856,84003,ἧς,ὅς2,2
857,84081,ὅτι,ὅτι2,2
858,84104,πιστὸν,πιστός2,2
859,84256,χρῆσαι,χράω2,2
