,Unnamed: 0,n,token,lemma,pos
177,177,6,βασιλέως,βασιλεύς,n-s---mg-
178,178,7,πρὸς,πρός,r--------
179,179,8,αὐτὸν,αὐτός,p-s---ma-
180,180,9,πάντας,πᾶς,a-p---ma-
181,181,10,οὕτω,οὕτως,d--------
182,182,11,διατιθεὶς,διατίθημι,v-sappmn-
183,183,12,ἀπεπέμπετο,ἀποπέμπω,v3siie---
184,184,13,ὥστε,ὥστε,c--------
185,185,14,αὐτῷ,αὐτός,p-s---md-
186,186,15,μᾶλλον,μᾶλλον,d--------
187,187,16,φίλους,φίλος,a-p---ma-
188,188,17,εἶναι,εἰμί,v--pna---
189,189,18,ἢ,ἤ,c--------
190,190,19,βασιλεῖ,βασιλεύς,n-s---md-
191,191,20,.,.,u--------
192,192,21,καὶ,καί,d--------
193,193,22,τῶν,ὅς,p-p---mg-
194,194,23,παρʼ,παρά,d--------
195,195,24,ἑαυτῷ,ἑαυτοῦ,p-s---md-
196,196,25,δὲ,δέ,g--------
197,197,26,βαρβάρων,βάρβαρος,n-p---mg-
198,198,27,ἐπεμελεῖτο,ἐπιμελέομαι,v3siie---
199,199,28,ὡς,ὡς,c--------
200,200,29,πολεμεῖν,πολεμέω,v--pna---
201,201,30,τε,τε,d--------
202,202,31,ἱκανοὶ,ἱκανός,a-p---mn-
203,203,32,εἴησαν,εἰμί,v3ppoa---
204,204,33,καὶ,καί,d--------
205,205,34,εὐνοϊκῶς,εὐνοϊκός,d--------
206,206,35,ἔχοιεν,ἔχω,v3ppoa---
207,207,36,αὐτῷ,αὐτός,a-s---md-
208,208,37,.,.,u--------
209,209,1,τὴν,ὅς,p-s---fa-
210,210,2,δὲ,δέ,g--------
211,211,3,Ἑλληνικὴν,Ἑλληνικός,a-s---fa-
212,212,4,δύναμιν,δύναμις,n-s---fa-
213,213,5,ἥθροιζεν,ἀθροίζω,v3siia---
214,214,6,ὡς,ὡς,c--------
215,215,7,μάλιστα,μάλιστα,d--------
216,216,8,ἐδύνατο,δύναμαι,v3siie---
217,217,9,ἐπικρυπτόμενος,ἐπικρύπτω,v-sppemn-
218,218,10,",",",",u--------
219,219,11,ὅπως,ὅπως,c--------
220,220,12,ὅτι,ὅτι2,c--------
221,221,13,ἀπαρασκευότατον,ἀπαράσκευος,a-s---nns
222,222,14,λάβοι,λαμβάνω,v3saoa---
223,223,15,βασιλέα,βασιλεύς,n-s---ma-
224,224,16,.,.,u--------
225,225,17,ὧδε,ὧδε,d--------
226,226,18,οὖν,οὖν,g--------
227,227,19,ἐποιεῖτο,ποιέω,v3siie---
228,228,20,τὴν,ὁ,l-s---fa-
229,229,21,συλλογήν,συλλογή,n-s---fa-
230,230,22,.,.,u--------
231,231,23,ὁπόσας,ὁπόσος,v-sapamn-
232,232,24,εἶχε,ἔχω,v3siia---
233,233,25,φυλακὰς,φυλακή,n-p---fa-
234,234,26,ἐν,ἐν,r--------
235,235,27,ταῖς,ὁ,l-p---fd-
236,236,28,πόλεσι,πόλις,n-p---fd-
237,237,29,παρήγγειλε,παραγγέλλω,v3saia---
238,238,30,τοῖς,ὁ,l-p---md-
239,239,31,φρουράρχοις,φρούραρχος,n-p---md-
240,240,32,ἑκάστοις,ἕκαστος,a-p---md-
241,241,33,λαμβάνειν,λαμβάνω,v--pna---
242,242,34,ἄνδρας,ἀνήρ,n-p---ma-
