,line,token,lemma
385,5449,Ἁλικαρνασεὺς,Ἁλικαρνασσεύς
386,5469,Ἡρακλέους,Ἡρακλῆς
387,5472,Ἀμαζόνας,Ἀμαζών
388,5493,ὕστερόν,ὕστερον
389,5506,πιθανώτερα,πιθανός
390,5509,οὐδεὶς,οὐδείς
391,5525,παρακρουσάμενον,παρακρούω
392,5562,Μενεκράτης,Μενεκράτης
393,5590,τρεῖς,τρέω
394,5597,Εὔνεων,Εὔνεως
395,5601,Σολόεντα,Σολόεις
396,5614,ἕνα,ἕνος
397,5616,συνήθων,συνήθης
398,5649,Σολόεντος,Σολόεις
399,5656,τινα,τις
400,5660,ᾐσθημένον,αἰσθάνομαι
401,5696,ἀνιαθῇ,ἀνιάω
402,5707,ἀμφʼ,ἀμφί
403,5746,οἷν,ὅς
404,5770,οὐκ,οὐ
405,5780,θεὸν,θεός
406,5783,μετατιθέντας,μετατίθημι
407,5791,Ἀμαζόνων,Ἀμαζών
408,5827,κρατοῦσαι,κρατέω
409,5859,σχεδὸν,σχεδόν
410,5890,λόγιον,λόγιον
411,5893,σφαγιασάμενος,σφαγιάζω
412,5907,Βοηδρόμια,Βοηδρόμια
413,5910,Ἀθηναῖοι,Ἀθηναῖος
414,5917,ἐξακριβοῦν,ἐξακριβόω
415,5919,καθʼ,καθά
416,5921,βουλόμενος,βούλομαι
417,5927,Ἀμαζόνων,Ἀμαζών
418,5938,δεξιῷ,δεξιός
419,5955,Μουσείου,Μούσειος
420,5957,Ἀμαζόσι,Ἀμαζών
421,5976,ἡρῷον,ἡρῷον
422,6001,Λυκείου,Λύκειον
423,6023,Ἱππολύτην,Ἱππολύτη
424,6041,μαχομένην,μάχομαι
425,6044,ἄνθρωπον,ἄνθρωπος
426,6077,τετρωμένας,τιτρώσκω
427,6085,λάθρα,λάθρῃ
428,6086,διαπεμφθείσας,διαπέμπω
429,6091,ταφῆναί,θάπτω
430,6120,ὅνπερ,ὅς
431,6121,Ὁρκωμόσιον,ὁρκωμόσια
432,6126,γινομένη,γίγνομαι
433,6130,Ἀμαζόσι,Ἀμαζών
434,6133,Θησείων,Θησεῖα
435,6154,Ῥομβοειδές,ῥομβοειδής
436,6198,διελθοῦσαι,διέρχομαι
437,6200,τάφοι,τάφος
438,6206,δείκνυνται,δείκνυμι
439,6209,Σκοτουσαίαν,Σκοτουσσαῖος
440,6212,Κυνὸς,κύων
441,6222,Ἀμαζόνων,Ἀμαζών
442,6288,μηδὲν,
443,6306,μέντοι,μέντοι
444,6323,τελευτὰς,τελευτή
445,6329,τινα,τις
446,6330,Τροιζηνίαν,Τροιζήνιος
447,6353,Φερέβοιαν,Φερέβοια
448,6366,Πανοπέως,Πανοπεύς
449,6391,Ἀττικήν,Ἀττικός
450,6416,οὐδενὸς,οὐδείς
451,6454,μηδενὸς,μηδείς
452,6467,Ἡρακλῆσ,
453,6482,Καδμείᾳ,Καδμεῖος
454,6494,Θηβαίων,Θηβαῖος
455,6500,σπεισάμενος,σπένδω
456,6540,Ἐλευθεραῖς,Ἐλευθεραί
457,6541,δείκνυνται,δείκνυμι
458,6553,χαρισαμένου,
459,6562,Ἐλευσίνιοι,Ἐλευσίνιος
460,6593,βουλόμενος,βούλομαι
461,6641,Πειρίθους,Πειρίθοος
462,6729,ἄμυναν,ἀμύνω
463,6752,συμμαχομένου,συμμάχομαι
464,6784,ποιησάμενον,ποιέω
465,6790,πεπαυμένῳ,παύω
466,6804,ἐπαίνων,ἔπαινος
467,6860,καθʼ,καθά
468,6881,Ἴδα,Ἴδη
469,6896,νὴ,νή
470,6903,Ἐναρσφόρον,Ἐναρσφόρος
471,6921,τοιαῦτά,τοιοῦτος
472,6935,Ὀρθίας,Ὀρθία
473,6947,πορρωτέρω,πρόσω
474,6948,Τεγέας,Τεγέα
